id,rerata_kecepatan
0,39.824574
1,32.025536
2,36.800602
3,39.676224
4,32.212456
5,23.130552
6,40.498043
7,33.625446
8,29.276825
9,40.359356
10,37.208317
11,45.698788
12,35.841537
13,31.805262
14,33.911507
15,36.506172
16,35.708412
17,37.4299
18,33.973145
19,39.705162
20,34.97973
21,24.920994
22,15.94377
23,29.958017
24,36.731377
25,42.21156
26,35.556038
27,38.7729
28,30.892897
29,41.401485
30,32.854443
31,37.091064
32,41.690533
33,40.60873
34,33.22087
35,19.900995
36,41.360806
37,34.89851
38,36.0031
39,34.96284
40,42.172913
41,31.614603
42,37.014225
43,24.465399
44,30.87729
45,37.606396
46,33.963657
47,40.47422
48,28.517868
49,26.79977
50,34.238247
51,41.264435
52,39.94508
53,48.512917
54,36.73377
55,35.869446
56,35.039856
57,46.6496
58,32.142742
59,40.24782
60,42.016136
61,32.847015
62,37.144253
63,39.064175
64,27.58385
65,43.949017
66,34.3478
67,30.966345
68,29.923775
69,37.599644
70,41.4289
71,35.783394
72,28.764894
73,36.911224
74,42.637722
75,36.84298
76,27.8946
77,19.083261
78,25.481977
79,37.99146
80,41.517113
81,35.551075
82,34.329277
83,26.621826
84,27.664291
85,38.271477
86,36.4522
87,33.766895
88,35.46612
89,32.491814
90,31.184584
91,40.26559
92,41.14764
93,36.935482
94,35.483814
95,32.675426
96,33.71429
97,46.5475
98,40.81323
99,25.910994
100,41.8305
101,33.903725
102,30.95245
103,46.286625
104,39.508507
105,39.813034
106,35.072056
107,37.53938
108,31.957666
109,41.080494
110,34.609997
111,42.792183
112,29.79861
113,41.087494
114,37.52034
115,42.266323
116,32.759552
117,46.01764
118,34.422928
119,47.38362
120,24.92073
121,38.867527
122,31.735916
123,40.660557
124,30.16383
125,33.198784
126,40.70843
127,33.80716
128,41.973083
129,41.646976
130,42.231712
131,39.149105
132,44.49221
133,30.892374
134,40.918655
135,41.15365
136,35.988716
137,34.584064
138,41.279602
139,45.365208
140,36.870594
141,9.66586
142,34.354137
143,30.348398
144,40.78183
145,40.910793
146,36.73178
147,31.794239
148,35.53068
149,43.446247
150,35.924156
151,33.18747
152,27.251637
153,41.468742
154,32.83981
155,30.872652
156,31.407408
157,38.03806
158,39.10248
159,38.52148
160,34.69002
161,45.390484
162,42.471867
163,25.356646
164,34.027527
165,41.245327
166,42.24638
167,35.24222
168,45.559166
169,28.986536
170,42.796417
171,27.735872
172,31.565643
173,32.09461
174,31.57168
175,34.193516
176,37.666126
177,38.860607
178,30.04083
179,43.9355
180,42.694767
181,39.21927
182,41.443226
183,40.987564
184,34.22692
185,32.089245
186,43.19312
187,44.749664
188,29.021988
189,41.6071
190,28.180397
191,19.876379
192,36.83734
193,27.052498
194,35.659554
195,33.553635
196,41.453983
197,47.15044
198,46.544212
199,27.92242
200,40.941727
201,30.283672
202,32.876034
203,44.24326
204,39.5492
205,33.072548
206,25.535364
207,31.96779
208,27.534426
209,43.036053
210,22.400381
211,41.95312
212,28.369892
213,25.945084
214,42.85344
215,32.96812
216,6.6918063
217,44.069
218,29.176804
219,46.327927
220,38.79162
221,29.592932
222,31.496277
223,34.066536
224,34.605186
225,44.201538
226,36.178833
227,39.263824
228,44.326893
229,29.853672
230,32.294823
231,43.153835
232,30.88775
233,36.684956
234,29.444298
235,34.082134
236,43.265347
237,28.415468
238,32.568176
239,45.06731
240,42.25645
241,36.769737
242,38.398697
243,27.547483
244,40.35362
245,31.245611
246,25.195414
247,35.15167
248,27.200981
249,43.251415
250,34.122936
251,34.17254
252,41.378487
253,40.918358
254,34.440796
255,35.35533
256,38.978657
257,37.022316
258,37.483875
259,36.463585
260,34.63833
261,36.87973
262,38.38157
263,43.854317
264,41.45477
265,25.10274
266,36.39634
267,40.440468
268,30.406765
269,40.73489
270,30.902243
271,32.985756
272,28.887373
273,30.847996
274,36.13462
275,44.99747
276,36.728153
277,45.16668
278,37.439125
279,39.565517
280,24.953218
281,37.511536
282,35.730957
283,36.08177
284,37.904514
285,36.799534
286,36.69086
287,32.566563
288,39.259766
289,38.516445
290,34.51382
291,26.711523
292,37.799545
293,30.200518
294,44.874775
295,40.758854
296,35.758278
297,47.73163
298,24.622217
299,30.663923
300,32.950592
301,25.759657
302,37.235703
303,34.925293
304,43.274303
305,41.22861
306,33.910828
307,43.092754
308,34.116604
309,33.326244
310,41.12812
311,30.397184
312,37.63987
313,38.965755
314,18.374346
315,27.680569
316,34.073257
317,33.42509
318,28.801973
319,32.583954
320,37.363476
321,39.37702
322,44.737804
323,38.02943
324,37.782448
325,34.044006
326,33.061382
327,40.18335
328,35.803486
329,37.72491
330,38.918575
331,45.335026
332,34.81516
333,28.20026
334,32.80981
335,38.96579
336,38.466743
337,14.374238
338,32.598515
339,32.749084
340,35.75239
341,37.37287
342,41.356518
343,37.152725
344,42.071815
345,35.129364
346,18.787813
347,31.242775
348,33.012848
349,47.85738
350,31.789906
351,42.993454
352,43.573517
353,22.96294
354,35.64047
355,29.54616
356,26.949661
357,36.504322
358,37.87374
359,42.682846
360,36.117775
361,27.314157
362,28.744255
363,32.306435
364,36.152786
365,38.098732
366,22.552235
367,35.211246
368,31.919483
369,34.858944
370,30.44275
371,14.00162
372,35.88819
373,41.653133
374,29.23845
375,34.17266
376,28.261591
377,30.696894
378,22.83727
379,35.159428
380,41.03401
